addr,chargeTp,cpId,cpNm,cpStat,cpTp,csId,csNm,lat,longi,statUpdatedatetime
경기도 수원시 영통구 이의동 에듀타운로 65 지하2층 주차장,1,3915,완속01,1,03,1300,광교자연앤자이2단지,37.287425,127.048294,
경기도 수원시 영통구 이의동 에듀타운로 65 지하2층 주차장,2,3914,급속01,1,10,1300,광교자연앤자이2단지,37.287425,127.048294,
서울특별시 관악구 봉천동 은천로33길 5 제1주차장 지하3층 변전실 옆,1,3823,완속01,3,03,1270,관악동부센트레빌 아파트,37.4872985885,126.9501540148,
서울특별시 관악구 봉천동 은천로33길 5 제1주차장 지하3층 변전실 옆,2,3822,급속01,1,10,1270,관악동부센트레빌 아파트,37.4872985885,126.9501540148,
"대구광역시 수성구 명덕로 477 (범어동, 범어 쌍용 예가) 101동 앞 지하 1층 주차장",1,1661,완속02,2,03,477,범어쌍용예가아파트,35.854391,128.622315,
"대구광역시 수성구 명덕로 477 (범어동, 범어 쌍용 예가) 101동 앞 지하 1층 주차장",1,1660,완속01,6,03,477,범어쌍용예가아파트,35.854391,128.622315,
"대구광역시 수성구 명덕로 477 (범어동, 범어 쌍용 예가) 101동 앞 지하 1층 주차장",2,1659,급속01[NR],1,10,477,범어쌍용예가아파트,35.854391,128.622315,
전북특별자치도 남원시 광한북로 57 지원센터 주차장,2,8743,급속01,6,10,3435,남원문화예술지원센터,35.408078,127.379754,
경북 포항시 남구 효자동길1번길 8 지상주차장,2,8749,급속01,1,10,3440,효자종합시장공영주차장,36.0075629241137,129.329281455298,
"제주특별자치도 서귀포시 안덕면 일주서로 1611 (감산리, 건강과성박물관) 주차장",2,8774,급속03,1,10,3450,건강과 성박물관,33.2550553519867,126.346811029997,
"제주특별자치도 서귀포시 안덕면 일주서로 1611 (감산리, 건강과성박물관) 주차장",2,8773,급속02,1,10,3450,건강과 성박물관,33.2550553519867,126.346811029997,
"제주특별자치도 서귀포시 안덕면 일주서로 1611 (감산리, 건강과성박물관) 주차장",2,8772,급속01,1,10,3450,건강과 성박물관,33.2550553519867,126.346811029997,
"경기도 김포시 김포한강2로 113 지하2층 주차장 312동 1,2호라인 옆 (블럭번호 B09)",1,1550,완속01,1,03,508,장기동 초당마을 중흥S클래스,37.638707,126.669652,
"경기도 김포시 김포한강2로 113 지하2층 주차장 312동 1,2호라인 옆 (블럭번호 B09)",2,1549,급속01,1,10,508,장기동 초당마을 중흥S클래스,37.638707,126.669652,
대전광역시 유성구 도안동로 523 아파트 207동 지하,1,1616,완속03,6,03,490,도안2블럭 호반베르디움,36.350547,127.345024,
대전광역시 유성구 도안동로 523 아파트 207동 지하,1,1615,완속02,6,03,490,도안2블럭 호반베르디움,36.350547,127.345024,
대전광역시 유성구 도안동로 523 아파트 207동 지하,1,1614,완속01,2,03,490,도안2블럭 호반베르디움,36.350547,127.345024,
대전광역시 유성구 도안동로 523 아파트 207동 지하,2,1613,급속01,1,10,490,도안2블럭 호반베르디움,36.350547,127.345024,
서울특별시 용산구 원효로1가 원효로90길 11 용산더프라임아파트 지하,1,2554,완속01,2,03,819,용산더프라임,37.539693,126.969936,
서울특별시 용산구 원효로1가 원효로90길 11 용산더프라임아파트 지하,2,2553,급속01,1,10,819,용산더프라임,37.539693,126.969936,
서울 동대문구 답십리로 130 지하주차장 1층 201동 5-6라인,1,6662,완속02,6,03,2429,답십리래미안위브1블럭,37.5720377764558,127.053951855019,
서울 동대문구 답십리로 130 지하주차장 1층 201동 5-6라인,1,6661,완속01,6,03,2429,답십리래미안위브1블럭,37.5720377764558,127.053951855019,
서울 동대문구 답십리로 130 지하주차장 1층 201동 5-6라인,2,6660,급속01,1,10,2429,답십리래미안위브1블럭,37.5720377764558,127.053951855019,
